"file","linePct","method","line"
"C:\Users\basha\SE\nubl\app\Models\RequestPaymentLink.php","50","payment","21"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\AdminAllocationController.php","56.25","status","24"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Provider\ProviderProofController.php","57.58","index","21"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\ProviderPayoutController.php","65.31","index","23"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\ProviderPayoutController.php","65.31","show","50"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\ProviderPayoutController.php","65.31","receiptFile","89"
"C:\Users\basha\SE\nubl\app\Models\OrderRedemption.php","66.67","provider","35"
"C:\Users\basha\SE\nubl\app\Http\Controllers\ProfileController.php","68.64","uploadPhoto","91"
"C:\Users\basha\SE\nubl\app\Http\Controllers\ProfileController.php","68.64","syncProfilePhoto","106"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Provider\ProviderProfileController.php","69.23","edit","22"
"C:\Users\basha\SE\nubl\app\Models\ProviderProfile.php","73.68","menuItems","58"
"C:\Users\basha\SE\nubl\app\Services\PaymentService.php","74.02","findPaymentByExternalIds","414"
"C:\Users\basha\SE\nubl\app\Models\RecipientKycDetails.php","75","user","42"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Auth\ProviderRegistrationController.php","77.78","showApplication","54"
"C:\Users\basha\SE\nubl\app\Http\Controllers\NotificationController.php","79.41","markAsRead","37"
"C:\Users\basha\SE\nubl\app\Http\Controllers\NotificationController.php","79.41","markAllAsRead","50"
"C:\Users\basha\SE\nubl\app\Models\ProviderOperatingInfo.php","80","user","30"
"C:\Users\basha\SE\nubl\app\Models\ProviderPayout.php","80","confirmedBy","82"
"C:\Users\basha\SE\nubl\app\Models\ProviderPayout.php","80","rejectedBy","87"
"C:\Users\basha\SE\nubl\app\Models\ProviderPayout.php","80","cancelledBy","92"
"C:\Users\basha\SE\nubl\app\Models\ProviderPayout.php","80","fundTransactionOut","97"
"C:\Users\basha\SE\nubl\app\Models\User.php","80.95","providerPayouts","100"
"C:\Users\basha\SE\nubl\app\Models\User.php","80.95","scopeActive","177"
"C:\Users\basha\SE\nubl\app\Models\User.php","80.95","scopeInactive","185"
"C:\Users\basha\SE\nubl\app\Models\User.php","80.95","emailVerificationRequired","241"
"C:\Users\basha\SE\nubl\app\Models\User.php","80.95","isEmailVerified","249"
"C:\Users\basha\SE\nubl\app\Models\FundTransaction.php","83.33","providerPayout","74"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Recipient\RecipientRequestController.php","90.24","cancelThrottle","176"
"C:\Users\basha\SE\nubl\app\Services\ProviderPayoutLedgerService.php","90.91","sumEligibleAmount","44"
"C:\Users\basha\SE\nubl\app\Services\AllocationEngineService.php","92.11","isGloballyPaused","80"
"C:\Users\basha\SE\nubl\app\Services\AllocationEngineService.php","92.11","isProviderPaused","85"
"C:\Users\basha\SE\nubl\app\Notifications\NewPendingAdminRequestNotification.php","92.31","via","21"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Provider\ProviderQrController.php","93.33","scan","16"
"C:\Users\basha\SE\nubl\app\Models\Request.php","95.24","requestPaymentLinks","64"
