"file","linePct","uncoveredLines","methods","coveredMethods","methodPct","uncoveredMethods"
"C:\Users\basha\SE\nubl\app\Services\SmsService.php","59.09","9","2","1","50","1"
"C:\Users\basha\SE\nubl\app\Models\ProviderMenuItem.php","75","4","6","5","83.33","1"
"C:\Users\basha\SE\nubl\app\Providers\RateLimiterServiceProvider.php","77.92","17","2","1","50","1"
"C:\Users\basha\SE\nubl\app\Models\ProviderProfile.php","78.95","4","6","5","83.33","1"
"C:\Users\basha\SE\nubl\app\Rules\SaudiPhoneUnique.php","80","2","2","1","50","1"
"C:\Users\basha\SE\nubl\app\Observers\UserObserver.php","80","2","2","1","50","1"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\AdminMenuController.php","80.77","10","3","1","33.33","2"
"C:\Users\basha\SE\nubl\app\Support\RequestTypeLabel.php","80.95","4","1","0","0","1"
"C:\Users\basha\SE\nubl\app\Notifications\AccountStatusUpdatedNotification.php","82.86","6","4","3","75","1"
"C:\Users\basha\SE\nubl\app\Services\OtpService.php","83.87","15","11","7","63.64","4"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\AccountApprovalController.php","84.71","13","9","5","55.56","4"
"C:\Users\basha\SE\nubl\app\Services\ResubmitApplicationService.php","84.76","25","7","4","57.14","3"
"C:\Users\basha\SE\nubl\app\Services\RedemptionService.php","84.93","11","3","1","33.33","2"
"C:\Users\basha\SE\nubl\app\Http\Middleware\EnsureEmailVerified.php","85.71","1","1","0","0","1"
"C:\Users\basha\SE\nubl\app\Http\Middleware\RedirectByRole.php","85.71","2","1","0","0","1"
"C:\Users\basha\SE\nubl\app\Http\Requests\Recipient\StoreRecipientRequest.php","86.36","6","3","2","66.67","1"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Auth\PhoneVerificationController.php","86.84","5","5","2","40","3"
"C:\Users\basha\SE\nubl\app\Console\Commands\GenerateWeeklyProviderPayoutsCommand.php","87.5","1","1","0","0","1"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Admin\MaintenanceSettingsController.php","87.76","6","6","4","66.67","2"
"C:\Users\basha\SE\nubl\app\Helpers\PhoneHelper.php","88.24","4","6","2","33.33","4"
"C:\Users\basha\SE\nubl\app\Http\Middleware\EnsurePhoneVerified.php","88.89","1","1","0","0","1"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Auth\OtpLoginController.php","88.89","5","3","1","33.33","2"
"C:\Users\basha\SE\nubl\app\Http\Controllers\Auth\ProviderRegistrationController.php","88.89","11","4","2","50","2"
"C:\Users\basha\SE\nubl\app\Http\Requests\Auth\UpdateResubmitApplicationRequest.php","89.29","9","4","2","50","2"
"C:\Users\basha\SE\nubl\app\Notifications\NewUserRegisteredNotification.php","89.47","2","3","2","66.67","1"
"C:\Users\basha\SE\nubl\app\Notifications\AccountApprovalPendingNotification.php","89.47","2","3","2","66.67","1"
